n,graph_id,tau,sampler,schedule,accepted_samples,acceptance_rate%,success_rate%
20,4,1.0,quantum,single,67,13.4,100.0
20,4,1.0,quantum,multi,67,13.4,100.0
20,4,1.0,classical,single,77,15.4,100.0
20,4,1.0,classical,multi,77,15.4,100.0
20,4,0.95,quantum,single,49,9.8,100.0
20,4,0.95,quantum,multi,49,9.8,100.0
20,4,0.95,classical,single,54,10.8,100.0
20,4,0.95,classical,multi,54,10.8,100.0
20,4,0.9,quantum,single,36,7.2,100.0
20,4,0.9,quantum,multi,36,7.2,100.0
20,4,0.9,classical,single,36,7.2,100.0
20,4,0.9,classical,multi,36,7.2,100.0
20,4,0.8,quantum,single,20,4.0,100.0
20,4,0.8,quantum,multi,20,4.0,100.0
20,4,0.8,classical,single,26,5.2,100.0
20,4,0.8,classical,multi,26,5.2,100.0
20,19,1.0,quantum,single,68,13.6,90.0
20,19,1.0,quantum,multi,68,13.6,90.0
20,19,1.0,classical,single,92,18.4,90.0
20,19,1.0,classical,multi,92,18.4,100.0
20,19,0.95,quantum,single,51,10.2,100.0
20,19,0.95,quantum,multi,51,10.2,100.0
20,19,0.95,classical,single,74,14.8,90.0
20,19,0.95,classical,multi,74,14.8,100.0
20,19,0.9,quantum,single,37,7.4,70.0
20,19,0.9,quantum,multi,37,7.4,90.0
20,19,0.9,classical,single,50,10.0,100.0
20,19,0.9,classical,multi,50,10.0,100.0
20,19,0.8,quantum,single,21,4.2,90.0
20,19,0.8,quantum,multi,21,4.2,90.0
20,19,0.8,classical,single,35,7.0,80.0
20,19,0.8,classical,multi,35,7.0,90.0
20,1,1.0,quantum,single,83,16.6,90.0
20,1,1.0,quantum,multi,83,16.6,100.0
20,1,1.0,classical,single,90,18.0,80.0
20,1,1.0,classical,multi,90,18.0,100.0
20,1,0.95,quantum,single,62,12.4,90.0
20,1,0.95,quantum,multi,62,12.4,100.0
20,1,0.95,classical,single,66,13.2,100.0
20,1,0.95,classical,multi,66,13.2,90.0
20,1,0.9,quantum,single,48,9.6,90.0
20,1,0.9,quantum,multi,48,9.6,90.0
20,1,0.9,classical,single,58,11.6,100.0
20,1,0.9,classical,multi,58,11.6,100.0
20,1,0.8,quantum,single,26,5.2,100.0
20,1,0.8,quantum,multi,26,5.2,90.0
20,1,0.8,classical,single,31,6.2,70.0
20,1,0.8,classical,multi,31,6.2,100.0
20,22,1.0,quantum,single,69,13.8,100.0
20,22,1.0,quantum,multi,69,13.8,100.0
20,22,1.0,classical,single,96,19.2,90.0
20,22,1.0,classical,multi,96,19.2,100.0
20,22,0.95,quantum,single,52,10.4,60.0
20,22,0.95,quantum,multi,52,10.4,90.0
20,22,0.95,classical,single,63,12.6,90.0
20,22,0.95,classical,multi,63,12.6,100.0
20,22,0.9,quantum,single,44,8.8,100.0
20,22,0.9,quantum,multi,44,8.8,100.0
20,22,0.9,classical,single,49,9.8,80.0
20,22,0.9,classical,multi,49,9.8,100.0
20,22,0.8,quantum,single,26,5.2,100.0
20,22,0.8,quantum,multi,26,5.2,90.0
20,22,0.8,classical,single,25,5.0,100.0
20,22,0.8,classical,multi,25,5.0,90.0
20,30,1.0,quantum,single,61,12.2,90.0
20,30,1.0,quantum,multi,61,12.2,90.0
20,30,1.0,classical,single,66,13.2,90.0
20,30,1.0,classical,multi,66,13.2,90.0
20,30,0.95,quantum,single,50,10.0,100.0
20,30,0.95,quantum,multi,50,10.0,90.0
20,30,0.95,classical,single,47,9.4,70.0
20,30,0.95,classical,multi,47,9.4,90.0
20,30,0.9,quantum,single,32,6.4,60.0
20,30,0.9,quantum,multi,32,6.4,100.0
20,30,0.9,classical,single,31,6.2,90.0
20,30,0.9,classical,multi,31,6.2,90.0
20,30,0.8,quantum,single,18,3.6,80.0
20,30,0.8,quantum,multi,18,3.6,70.0
20,30,0.8,classical,single,16,3.2,90.0
20,30,0.8,classical,multi,16,3.2,90.0
20,18,1.0,quantum,single,70,14.0,90.0
20,18,1.0,quantum,multi,70,14.0,90.0
20,18,1.0,classical,single,87,17.4,100.0
20,18,1.0,classical,multi,87,17.4,90.0
20,18,0.95,quantum,single,52,10.4,70.0
20,18,0.95,quantum,multi,52,10.4,90.0
20,18,0.95,classical,single,66,13.2,90.0
20,18,0.95,classical,multi,66,13.2,100.0
20,18,0.9,quantum,single,35,7.0,80.0
20,18,0.9,quantum,multi,35,7.0,80.0
20,18,0.9,classical,single,53,10.6,100.0
20,18,0.9,classical,multi,53,10.6,80.0
20,18,0.8,quantum,single,25,5.0,90.0
20,18,0.8,quantum,multi,25,5.0,100.0
20,18,0.8,classical,single,31,6.2,80.0
20,18,0.8,classical,multi,31,6.2,100.0
20,25,1.0,quantum,single,56,11.2,100.0
20,25,1.0,quantum,multi,56,11.2,90.0
20,25,1.0,classical,single,75,15.0,50.0
20,25,1.0,classical,multi,75,15.0,90.0
20,25,0.95,quantum,single,37,7.4,80.0
20,25,0.95,quantum,multi,37,7.4,80.0
20,25,0.95,classical,single,54,10.8,90.0
20,25,0.95,classical,multi,54,10.8,90.0
20,25,0.9,quantum,single,30,6.0,80.0
20,25,0.9,quantum,multi,30,6.0,70.0
20,25,0.9,classical,single,39,7.8,80.0
20,25,0.9,classical,multi,39,7.8,100.0
20,25,0.8,quantum,single,15,3.0,50.0
20,25,0.8,quantum,multi,15,3.0,90.0
20,25,0.8,classical,single,26,5.2,90.0
20,25,0.8,classical,multi,26,5.2,90.0
20,24,1.0,quantum,single,63,12.6,70.0
20,24,1.0,quantum,multi,63,12.6,100.0
20,24,1.0,classical,single,87,17.4,80.0
20,24,1.0,classical,multi,87,17.4,90.0
20,24,0.95,quantum,single,44,8.8,80.0
20,24,0.95,quantum,multi,44,8.8,100.0
20,24,0.95,classical,single,59,11.8,80.0
20,24,0.95,classical,multi,59,11.8,90.0
20,24,0.9,quantum,single,37,7.4,70.0
20,24,0.9,quantum,multi,37,7.4,80.0
20,24,0.9,classical,single,49,9.8,90.0
20,24,0.9,classical,multi,49,9.8,90.0
20,24,0.8,quantum,single,29,5.8,60.0
20,24,0.8,quantum,multi,29,5.8,90.0
20,24,0.8,classical,single,31,6.2,80.0
20,24,0.8,classical,multi,31,6.2,90.0
20,2,1.0,quantum,single,54,10.8,90.0
20,2,1.0,quantum,multi,54,10.8,100.0
20,2,1.0,classical,single,97,19.4,100.0
20,2,1.0,classical,multi,97,19.4,100.0
20,2,0.95,quantum,single,40,8.0,100.0
20,2,0.95,quantum,multi,40,8.0,100.0
20,2,0.95,classical,single,68,13.6,100.0
20,2,0.95,classical,multi,68,13.6,100.0
20,2,0.9,quantum,single,35,7.0,100.0
20,2,0.9,quantum,multi,35,7.0,100.0
20,2,0.9,classical,single,54,10.8,100.0
20,2,0.9,classical,multi,54,10.8,100.0
20,2,0.8,quantum,single,23,4.6,100.0
20,2,0.8,quantum,multi,23,4.6,100.0
20,2,0.8,classical,single,30,6.0,90.0
20,2,0.8,classical,multi,30,6.0,100.0
20,14,1.0,quantum,single,70,14.0,90.0
20,14,1.0,quantum,multi,70,14.0,70.0
20,14,1.0,classical,single,89,17.8,80.0
20,14,1.0,classical,multi,89,17.8,90.0
20,14,0.95,quantum,single,50,10.0,90.0
20,14,0.95,quantum,multi,50,10.0,100.0
20,14,0.95,classical,single,64,12.8,70.0
20,14,0.95,classical,multi,64,12.8,90.0
20,14,0.9,quantum,single,31,6.2,100.0
20,14,0.9,quantum,multi,31,6.2,90.0
20,14,0.9,classical,single,46,9.2,90.0
20,14,0.9,classical,multi,46,9.2,100.0
20,14,0.8,quantum,single,18,3.6,80.0
20,14,0.8,quantum,multi,18,3.6,70.0
20,14,0.8,classical,single,25,5.0,90.0
20,14,0.8,classical,multi,25,5.0,100.0
20,11,1.0,quantum,single,71,14.2,100.0
20,11,1.0,quantum,multi,71,14.2,100.0
20,11,1.0,classical,single,93,18.6,90.0
20,11,1.0,classical,multi,93,18.6,90.0
20,11,0.95,quantum,single,46,9.2,90.0
20,11,0.95,quantum,multi,46,9.2,80.0
20,11,0.95,classical,single,69,13.8,90.0
20,11,0.95,classical,multi,69,13.8,100.0
20,11,0.9,quantum,single,38,7.6,80.0
20,11,0.9,quantum,multi,38,7.6,90.0
20,11,0.9,classical,single,45,9.0,70.0
20,11,0.9,classical,multi,45,9.0,100.0
20,11,0.8,quantum,single,26,5.2,90.0
20,11,0.8,quantum,multi,26,5.2,80.0
20,11,0.8,classical,single,35,7.0,90.0
20,11,0.8,classical,multi,35,7.0,90.0
20,5,1.0,quantum,single,69,13.8,100.0
20,5,1.0,quantum,multi,69,13.8,100.0
20,5,1.0,classical,single,88,17.6,70.0
20,5,1.0,classical,multi,88,17.6,100.0
20,5,0.95,quantum,single,49,9.8,70.0
20,5,0.95,quantum,multi,49,9.8,100.0
20,5,0.95,classical,single,68,13.6,70.0
20,5,0.95,classical,multi,68,13.6,100.0
20,5,0.9,quantum,single,41,8.2,80.0
20,5,0.9,quantum,multi,41,8.2,90.0
20,5,0.9,classical,single,51,10.2,90.0
20,5,0.9,classical,multi,51,10.2,100.0
20,5,0.8,quantum,single,24,4.8,40.0
20,5,0.8,quantum,multi,24,4.8,80.0
20,5,0.8,classical,single,28,5.6,70.0
20,5,0.8,classical,multi,28,5.6,100.0
20,3,1.0,quantum,single,75,15.0,100.0
20,3,1.0,quantum,multi,75,15.0,90.0
20,3,1.0,classical,single,82,16.4,100.0
20,3,1.0,classical,multi,82,16.4,90.0
20,3,0.95,quantum,single,54,10.8,90.0
20,3,0.95,quantum,multi,54,10.8,100.0
20,3,0.95,classical,single,62,12.4,80.0
20,3,0.95,classical,multi,62,12.4,100.0
20,3,0.9,quantum,single,40,8.0,100.0
20,3,0.9,quantum,multi,40,8.0,100.0
20,3,0.9,classical,single,50,10.0,90.0
20,3,0.9,classical,multi,50,10.0,80.0
20,3,0.8,quantum,single,19,3.8,70.0
20,3,0.8,quantum,multi,19,3.8,100.0
20,3,0.8,classical,single,27,5.4,90.0
20,3,0.8,classical,multi,27,5.4,100.0
20,6,1.0,quantum,single,61,12.2,70.0
20,6,1.0,quantum,multi,61,12.2,80.0
20,6,1.0,classical,single,75,15.0,90.0
20,6,1.0,classical,multi,75,15.0,90.0
20,6,0.95,quantum,single,45,9.0,90.0
20,6,0.95,quantum,multi,45,9.0,90.0
20,6,0.95,classical,single,48,9.6,90.0
20,6,0.95,classical,multi,48,9.6,100.0
20,6,0.9,quantum,single,35,7.0,90.0
20,6,0.9,quantum,multi,35,7.0,80.0
20,6,0.9,classical,single,41,8.2,80.0
20,6,0.9,classical,multi,41,8.2,100.0
20,6,0.8,quantum,single,29,5.8,80.0
20,6,0.8,quantum,multi,29,5.8,90.0
20,6,0.8,classical,single,29,5.8,100.0
20,6,0.8,classical,multi,29,5.8,70.0
20,12,1.0,quantum,single,60,12.0,100.0
20,12,1.0,quantum,multi,60,12.0,90.0
20,12,1.0,classical,single,73,14.6,90.0
20,12,1.0,classical,multi,73,14.6,100.0
20,12,0.95,quantum,single,49,9.8,100.0
20,12,0.95,quantum,multi,49,9.8,100.0
20,12,0.95,classical,single,53,10.6,100.0
20,12,0.95,classical,multi,53,10.6,100.0
20,12,0.9,quantum,single,38,7.6,100.0
20,12,0.9,quantum,multi,38,7.6,90.0
20,12,0.9,classical,single,33,6.6,90.0
20,12,0.9,classical,multi,33,6.6,100.0
20,12,0.8,quantum,single,24,4.8,100.0
20,12,0.8,quantum,multi,24,4.8,90.0
20,12,0.8,classical,single,19,3.8,90.0
20,12,0.8,classical,multi,19,3.8,100.0
20,8,1.0,quantum,single,60,12.0,90.0
20,8,1.0,quantum,multi,60,12.0,90.0
20,8,1.0,classical,single,94,18.8,80.0
20,8,1.0,classical,multi,94,18.8,90.0
20,8,0.95,quantum,single,49,9.8,100.0
20,8,0.95,quantum,multi,49,9.8,90.0
20,8,0.95,classical,single,69,13.8,70.0
20,8,0.95,classical,multi,69,13.8,100.0
20,8,0.9,quantum,single,38,7.6,90.0
20,8,0.9,quantum,multi,38,7.6,90.0
20,8,0.9,classical,single,49,9.8,100.0
20,8,0.9,classical,multi,49,9.8,70.0
20,8,0.8,quantum,single,25,5.0,90.0
20,8,0.8,quantum,multi,25,5.0,80.0
20,8,0.8,classical,single,36,7.2,90.0
20,8,0.8,classical,multi,36,7.2,90.0
20,21,1.0,quantum,single,54,10.8,100.0
20,21,1.0,quantum,multi,54,10.8,90.0
20,21,1.0,classical,single,91,18.2,100.0
20,21,1.0,classical,multi,91,18.2,100.0
20,21,0.95,quantum,single,34,6.8,100.0
20,21,0.95,quantum,multi,34,6.8,100.0
20,21,0.95,classical,single,56,11.2,100.0
20,21,0.95,classical,multi,56,11.2,100.0
20,21,0.9,quantum,single,29,5.8,80.0
20,21,0.9,quantum,multi,29,5.8,100.0
20,21,0.9,classical,single,40,8.0,80.0
20,21,0.9,classical,multi,40,8.0,90.0
20,21,0.8,quantum,single,23,4.6,100.0
