Graph Name,Graph Size,graph_seed,sampler_rng_seed,num_shots,accepted_samples,acceptance_rate%,mean_pairs_theory,subgraph_size_distribution,code_version
Random_n20_1,20,242,242,500,90,18.0,2.3704,"4:2, 5:13, 6:45, 7:8, 8:17, 9:2, 10:3",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_2,20,342,342,500,97,19.4,2.2731,"4:2, 5:25, 6:37, 7:8, 8:14, 9:5, 10:4, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_3,20,442,442,500,82,16.4,2.3317,"4:2, 5:21, 6:35, 7:6, 8:11, 9:2, 10:2, 11:2, 14:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n20_4,20,542,542,500,77,15.4,2.2679,"4:1, 5:12, 6:35, 7:9, 8:15, 9:2, 10:3",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_21,15,2192,2192,500,67,13.4,2.378,"4:1, 5:21, 6:26, 7:10, 8:6, 9:3",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_22,15,2292,2292,500,55,11.0,2.2332,"4:2, 5:17, 6:22, 7:7, 8:5, 9:1, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_23,15,2392,2392,500,81,16.2,2.7185,"4:4, 5:25, 6:34, 7:7, 8:9, 11:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_24,15,2492,2492,500,73,14.6,2.4882,"4:4, 5:19, 6:30, 7:12, 8:3, 9:3, 10:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_29,15,2992,2992,500,64,12.8,2.1268,"4:3, 5:14, 6:25, 7:14, 8:6, 9:1, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_30,15,3092,3092,500,50,10.0,2.2213,"5:15, 6:24, 7:6, 8:3, 9:1, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_31,15,3192,3192,500,71,14.2,2.4241,"4:5, 5:19, 6:27, 7:10, 8:7, 9:2, 10:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_32,15,3292,3292,500,74,14.8,2.3441,"4:2, 5:20, 6:33, 7:10, 8:7, 9:2",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
Random_n15_57,15,5792,5792,500,70,14.0,2.2733,"4:1, 5:24, 6:28, 7:9, 8:4, 9:2, 10:1, 11:1",22.py @ 2026-09-14 + source_resolved.py (source-resolved control)
